reference,country,date,sentiment_scores,sentiment_entropy
r940523a_BOA,australia,1994-05-23,"{'positive': 0.2155688622754491, 'neutral': 0.6706586826347305, 'negative': 0.11377245508982035}",0.8460004233530849
r940713a_BOA,australia,1994-07-13,"{'positive': 0.3652173913043478, 'neutral': 0.5130434782608696, 'negative': 0.12173913043478261}",0.9666396433810541
r940817a_BOA,australia,1994-08-17,"{'positive': 0.176, 'neutral': 0.744, 'negative': 0.08}",0.7278294351656914
r940926a_BOA,australia,1994-09-26,"{'positive': 0.10144927536231885, 'neutral': 0.8067632850241546, 'negative': 0.09178743961352658}",0.6245821822994156
r941123a_BOA,australia,1994-11-23,"{'positive': 0.07303370786516854, 'neutral': 0.8595505617977528, 'negative': 0.06741573033707865}",0.5030182501937783
r941129a_BOA,australia,1994-11-29,"{'positive': 0.22289156626506024, 'neutral': 0.6325301204819277, 'negative': 0.14457831325301204}",0.9038968759304773
r941214a_BOA,australia,1994-12-14,"{'positive': 0.15555555555555556, 'neutral': 0.7111111111111111, 'negative': 0.13333333333333333}",0.8005407842515027
r950330a_BOA,australia,1995-03-30,"{'positive': 0.22151898734177214, 'neutral': 0.6265822784810127, 'negative': 0.1518987341772152}",0.9130549112307353
r950613a_BOA,australia,1995-06-13,"{'positive': 0.27722772277227725, 'neutral': 0.6188118811881188, 'negative': 0.10396039603960396}",0.8880009496975023
r950711a_BOA,australia,1995-07-11,"{'positive': 0.12396694214876033, 'neutral': 0.7603305785123967, 'negative': 0.11570247933884298}",0.7166822421284892
r950925a_BOA,australia,1995-09-25,"{'positive': 0.18181818181818182, 'neutral': 0.8041958041958042, 'negative': 0.013986013986013986}",0.5449145665434585
r951019a_BOA,australia,1995-10-19,"{'positive': 0.10869565217391304, 'neutral': 0.782608695652174, 'negative': 0.10869565217391304}",0.6742705071682045
r951130a_BOA,australia,1995-11-30,"{'positive': 0.2147239263803681, 'neutral': 0.656441717791411, 'negative': 0.12883435582822086}",0.8706530312868526
r960328a_BOA,australia,1996-03-28,"{'positive': 0.3357142857142857, 'neutral': 0.5571428571428572, 'negative': 0.10714285714285714}",0.9316354313329182
r960510a_BOA,australia,1996-05-10,"{'positive': 0.2608695652173913, 'neutral': 0.6956521739130435, 'negative': 0.043478260869565216}",0.7393213302245918
r960705a_BOA,australia,1996-07-05,"{'positive': 0.08441558441558442, 'neutral': 0.8311688311688312, 'negative': 0.08441558441558442}",0.5710528811427789
r960716a_BOA,australia,1996-07-16,"{'positive': 0.31666666666666665, 'neutral': 0.5333333333333333, 'negative': 0.15}",0.9839627173924408
r960808a_BOA,australia,1996-08-08,"{'positive': 0.3103448275862069, 'neutral': 0.6206896551724138, 'negative': 0.06896551724137931}",0.8435714438045143
r960815a_BOA,australia,1996-08-15,"{'positive': 0.12751677852348994, 'neutral': 0.8389261744966443, 'negative': 0.03355704697986577}",0.5238741762198181
r960905a_BOA,australia,1996-09-05,"{'positive': 0.40145985401459855, 'neutral': 0.4233576642335766, 'negative': 0.17518248175182483}",1.0354385044571108
r960925a_BOA,australia,1996-09-25,"{'positive': 0.13953488372093023, 'neutral': 0.813953488372093, 'negative': 0.046511627906976744}",0.5850598057257089
r961120a_BOA,australia,1996-11-20,"{'positive': 0.19298245614035087, 'neutral': 0.7982456140350878, 'negative': 0.008771929824561403}",0.5389076671057559
r961128a_BOA,australia,1996-11-28,"{'positive': 0.18699186991869918, 'neutral': 0.6585365853658537, 'negative': 0.15447154471544716}",0.8771348505024958
r970205a_BOA,australia,1997-02-05,"{'positive': 0.18292682926829268, 'neutral': 0.7195121951219512, 'negative': 0.0975609756097561}",0.7746339479909691
r970211a_BOA,australia,1997-02-11,"{'positive': 0.21100917431192662, 'neutral': 0.6972477064220184, 'negative': 0.09174311926605505}",0.7988896092193083
r970508a_BOA,australia,1997-05-08,"{'positive': 0.29770992366412213, 'neutral': 0.5267175572519084, 'negative': 0.17557251908396945}",1.0038338118833077
r970515a_BOA,australia,1997-05-15,"{'positive': 0.15723270440251572, 'neutral': 0.7295597484276729, 'negative': 0.11320754716981132}",0.767551690068192
r970812a_BOA,australia,1997-08-12,"{'positive': 0.17142857142857143, 'neutral': 0.7642857142857142, 'negative': 0.06428571428571428}",0.6842067196678713
r970929a_BOA,australia,1997-09-29,"{'positive': 0.12796208530805686, 'neutral': 0.7772511848341233, 'negative': 0.0947867298578199}",0.6822830860051411
r971106a_BOA,australia,1997-11-06,"{'positive': 0.17751479289940827, 'neutral': 0.6390532544378699, 'negative': 0.1834319526627219}",0.9041016893708846
r971204a_BOA,australia,1997-12-04,"{'positive': 0.1, 'neutral': 0.7230769230769231, 'negative': 0.17692307692307693}",0.7711466185574994
r980311a_BOA,australia,1998-03-11,"{'positive': 0.11206896551724138, 'neutral': 0.75, 'negative': 0.13793103448275862}",0.7342818503668365
r980326a_BOA,australia,1998-03-26,"{'positive': 0.16541353383458646, 'neutral': 0.6766917293233082, 'negative': 0.15789473684210525}",0.8533508162232675
r980507a_BOA,australia,1998-05-07,"{'positive': 0.23684210526315788, 'neutral': 0.5614035087719298, 'negative': 0.20175438596491227}",0.9881942406444401
r980604a_BOA,australia,1998-06-04,"{'positive': 0.16521739130434782, 'neutral': 0.5826086956521739, 'negative': 0.25217391304347825}",0.9596249529461645
r980702a_BOA,australia,1998-07-02,"{'positive': 0.21052631578947367, 'neutral': 0.6513157894736842, 'negative': 0.13815789473684212}",0.8807529863389899
r980915a_BOA,australia,1998-09-15,"{'positive': 0.1341991341991342, 'neutral': 0.7792207792207793, 'negative': 0.08658008658008658}",0.675748957403364
r981014a_BOA,australia,1998-10-14,"{'positive': 0.16822429906542055, 'neutral': 0.7383177570093458, 'negative': 0.09345794392523364}",0.7453622651444658
r981021a_BOA,australia,1998-10-21,"{'positive': 0.171875, 'neutral': 0.734375, 'negative': 0.09375}",0.7513152381014975
r981125a_BOA,australia,1998-11-25,"{'positive': 0.10743801652892562, 'neutral': 0.743801652892562, 'negative': 0.1487603305785124}",0.7432789454409163
r981127a_BOA,australia,1998-11-27,"{'positive': 0.225, 'neutral': 0.6625, 'negative': 0.1125}",0.8541868314686392
r981215a_BOA,australia,1998-12-15,"{'positive': 0.358974358974359, 'neutral': 0.4700854700854701, 'negative': 0.17094017094017094}",1.0245662884151305
r990311a_BOA,australia,1999-03-11,"{'positive': 0.26881720430107525, 'neutral': 0.6021505376344086, 'negative': 0.12903225806451613}",0.9228094920744454
r990521a_BOA,australia,1999-05-21,"{'positive': 0.2413793103448276, 'neutral': 0.6551724137931034, 'negative': 0.10344827586206896}",0.8548286398639261
r990617a_BOA,australia,1999-06-17,"{'positive': 0.15384615384615385, 'neutral': 0.6666666666666666, 'negative': 0.1794871794871795}",0.866576060301081
r990729a_BOA,australia,1999-07-29,"{'positive': 0.12021857923497267, 'neutral': 0.7377049180327869, 'negative': 0.14207650273224043}",0.7563411307013692
r991027a_BOA,australia,1999-10-27,"{'positive': 0.23636363636363636, 'neutral': 0.6727272727272727, 'negative': 0.09090909090909091}",0.8255969311050748
r991111a_BOA,australia,1999-11-11,"{'positive': 0.06756756756756757, 'neutral': 0.7972972972972973, 'negative': 0.13513513513513514}",0.6331495569535156
r991129a_BOA,australia,1999-11-29,"{'positive': 0.1388888888888889, 'neutral': 0.7407407407407407, 'negative': 0.12037037037037036}",0.7513235841849265
r000211a_BOA,australia,2000-02-11,"{'positive': 0.16521739130434782, 'neutral': 0.7391304347826086, 'negative': 0.09565217391304348}",0.7453969509143687
r000314a_BOA,australia,2000-03-14,"{'positive': 0.2222222222222222, 'neutral': 0.7530864197530864, 'negative': 0.024691358024691357}",0.6391862939585766
r000522a_BOA,australia,2000-05-22,"{'positive': 0.21739130434782608, 'neutral': 0.7065217391304348, 'negative': 0.07608695652173914}",0.773188695987264
r000526a_BOA,australia,2000-05-26,"{'positive': 0.23255813953488372, 'neutral': 0.6744186046511628, 'negative': 0.09302325581395349}",0.8257906402510562
r000810a_BOA,australia,2000-08-10,"{'positive': 0.2, 'neutral': 0.6666666666666666, 'negative': 0.13333333333333333}",0.8608513906312316
r000911a_BOA,australia,2000-09-11,"{'positive': 0.07317073170731707, 'neutral': 0.8699186991869918, 'negative': 0.056910569105691054}",0.475687790113579
r001109a_BOA,australia,2000-11-09,"{'positive': 0.13445378151260504, 'neutral': 0.6890756302521008, 'negative': 0.17647058823529413}",0.8325069466939063
r001201a_BOA,australia,2000-12-01,"{'positive': 0.1553398058252427, 'neutral': 0.6990291262135923, 'negative': 0.14563106796116504}",0.8201451713216199
r010410a_BOA,australia,2001-04-10,"{'positive': 0.14705882352941177, 'neutral': 0.5882352941176471, 'negative': 0.2647058823529412}",0.9458647531668585
r010511a_BOA,australia,2001-05-11,"{'positive': 0.21428571428571427, 'neutral': 0.41836734693877553, 'negative': 0.3673469387755102}",1.0625378081451795
r010710a_BOA,australia,2001-07-10,"{'positive': 0.13592233009708737, 'neutral': 0.6116504854368932, 'negative': 0.2524271844660194}",0.919439664289454
r010918a_BOA,australia,2001-09-18,"{'positive': 0.05161290322580645, 'neutral': 0.8516129032258064, 'negative': 0.0967741935483871}",0.5157726063942609
r011206a_BOA,australia,2001-12-06,"{'positive': 0.16521739130434782, 'neutral': 0.5826086956521739, 'negative': 0.25217391304347825}",0.9596249529461645
r020322a_BOA,australia,2002-03-22,"{'positive': 0.07228915662650602, 'neutral': 0.891566265060241, 'negative': 0.03614457831325301}",0.4122477092606796
r020404a_BOA,australia,2002-04-04,"{'positive': 0.15315315315315314, 'neutral': 0.7117117117117117, 'negative': 0.13513513513513514}",0.7998747039214915
r020531a_BOA,australia,2002-05-31,"{'positive': 0.2235294117647059, 'neutral': 0.6, 'negative': 0.17647058823529413}",0.9474959519063619
r020625a_BOA,australia,2002-06-25,"{'positive': 0.2111111111111111, 'neutral': 0.7222222222222222, 'negative': 0.06666666666666667}",0.7439200040775195
r020821a_BOA,australia,2002-08-21,"{'positive': 0.08, 'neutral': 0.8, 'negative': 0.12}",0.6350047569400391
r021113a_BOA,australia,2002-11-13,"{'positive': 0.2413793103448276, 'neutral': 0.5517241379310345, 'negative': 0.20689655172413793}",0.997180401897094
r021206a_BOA,australia,2002-12-06,"{'positive': 0.20833333333333334, 'neutral': 0.5972222222222222, 'negative': 0.19444444444444445}",0.9530666661553615
r030403a_BOA,australia,2003-04-03,"{'positive': 0.17553191489361702, 'neutral': 0.7340425531914894, 'negative': 0.09042553191489362}",0.7496845961860993
r030606a_BOA,australia,2003-06-06,"{'positive': 0.11098779134295228, 'neutral': 0.781354051054384, 'negative': 0.1076581576026637}",0.6767173039469625
r030708a_BOA,australia,2003-07-08,"{'positive': 0.18421052631578946, 'neutral': 0.7236842105263158, 'negative': 0.09210526315789473}",0.7653188817891374
r030809a_BOA,australia,2003-08-09,"{'positive': 0.058823529411764705, 'neutral': 0.7058823529411765, 'negative': 0.23529411764705882}",0.7529746827658885
r031016a_BOA,australia,2003-10-16,"{'positive': 0.2892561983471074, 'neutral': 0.6115702479338843, 'negative': 0.09917355371900827}",0.8887089022356331
r031113a_BOA,australia,2003-11-13,"{'positive': 0.22772277227722773, 'neutral': 0.6336633663366337, 'negative': 0.13861386138613863}",0.8999552998511302
r031208a_BOA,australia,2003-12-08,"{'positive': 0.2413793103448276, 'neutral': 0.6091954022988506, 'negative': 0.14942528735632185}",0.9290715179941893
r040414a_BOA,australia,2004-04-14,"{'positive': 0.3118279569892473, 'neutral': 0.5376344086021505, 'negative': 0.15053763440860216}",0.9820668914798294
r040604a_BOA,australia,2004-06-04,"{'positive': 0.26436781609195403, 'neutral': 0.5632183908045977, 'negative': 0.1724137931034483}",0.978134387731316
r040825a_BOA,australia,2004-08-25,"{'positive': 0.061224489795918366, 'neutral': 0.8571428571428571, 'negative': 0.08163265306122448}",0.507674618959905
r041116a_BOA,australia,2004-11-16,"{'positive': 0.14423076923076922, 'neutral': 0.7115384615384616, 'negative': 0.14423076923076922}",0.8007147171204605
r050218a_BOA,australia,2005-02-18,"{'positive': 0.20238095238095238, 'neutral': 0.6309523809523809, 'negative': 0.16666666666666666}",0.9125203597738879
r050323a_BOA,australia,2005-03-23,"{'positive': 0.13095238095238096, 'neutral': 0.8214285714285714, 'negative': 0.047619047619047616}",0.572776629051974
r050507a_BOA,australia,2005-05-07,"{'positive': 0.08403361344537816, 'neutral': 0.8067226890756303, 'negative': 0.1092436974789916}",0.6232611489278932
r050512a_BOA,australia,2005-05-12,"{'positive': 0.08695652173913043, 'neutral': 0.8043478260869565, 'negative': 0.10869565217391304}",0.6287211840002609
r050614a_BOA,australia,2005-06-14,"{'positive': 0.2079207920792079, 'neutral': 0.5643564356435643, 'negative': 0.22772277227722773}",0.9863555621369853
r050812a_BOA,australia,2005-08-12,"{'positive': 0.2898550724637681, 'neutral': 0.6376811594202898, 'negative': 0.07246376811594203}",0.836045940457349
r050928a_BOA,australia,2005-09-28,"{'positive': 0.1349206349206349, 'neutral': 0.6746031746031746, 'negative': 0.19047619047619047}",0.851652735689706
r051213a_BOA,australia,2005-12-13,"{'positive': 0.1836734693877551, 'neutral': 0.7142857142857143, 'negative': 0.10204081632653061}",0.784485748920301
r060217a_BOA,australia,2006-02-17,"{'positive': 0.3333333333333333, 'neutral': 0.553030303030303, 'negative': 0.11363636363636363}",0.9409183156714527
r060428a_BOA,australia,2006-04-28,"{'positive': 0.06666666666666667, 'neutral': 0.8777777777777778, 'negative': 0.05555555555555555}",0.45554159563655916
r060818a_BOA,australia,2006-08-18,"{'positive': 0.19047619047619047, 'neutral': 0.5952380952380952, 'negative': 0.21428571428571427}",0.9547541623031378
r061011a_BOA,australia,2006-10-11,"{'positive': 0.2, 'neutral': 0.6068965517241379, 'negative': 0.19310344827586207}",0.942534121533708
r061212a_BOA,australia,2006-12-12,"{'positive': 0.22875816993464052, 'neutral': 0.673202614379085, 'negative': 0.09803921568627451}",0.8315162157956045
r070221a_BOA,australia,2007-02-21,"{'positive': 0.29411764705882354, 'neutral': 0.5882352941176471, 'negative': 0.11764705882352941}",0.923840705630872
r070614a_BOA,australia,2007-06-14,"{'positive': 0.35526315789473684, 'neutral': 0.4934210526315789, 'negative': 0.1513157894736842}",1.0019521392932202
r070718a_BOA,australia,2007-07-18,"{'positive': 0.19680851063829788, 'neutral': 0.675531914893617, 'negative': 0.1276595744680851}",0.8476706081680977
r070817a_BOA,australia,2007-08-17,"{'positive': 0.23529411764705882, 'neutral': 0.5686274509803921, 'negative': 0.19607843137254902}",0.9809175974889491
r070918a_BOA,australia,2007-09-18,"{'positive': 0.17532467532467533, 'neutral': 0.6558441558441559, 'negative': 0.16883116883116883}",0.8822430077925731
r071211a_BOA,australia,2007-12-11,"{'positive': 0.056179775280898875, 'neutral': 0.9213483146067416, 'negative': 0.02247191011235955}",0.322518816934846
r080119a_BOA,australia,2008-01-19,"{'positive': 0.1773049645390071, 'neutral': 0.5886524822695035, 'negative': 0.23404255319148937}",0.9585441769227323
r080314a_BOA,australia,2008-03-14,"{'positive': 0.12648221343873517, 'neutral': 0.7865612648221344, 'negative': 0.08695652173913043}",0.6627407022308871
r080327a_BOA,australia,2008-03-27,"{'positive': 0.1590909090909091, 'neutral': 0.6515151515151515, 'negative': 0.1893939393939394}",0.8867357537098666
r080404a_BOA,australia,2008-04-04,"{'positive': 0.32038834951456313, 'neutral': 0.5242718446601942, 'negative': 0.1553398058252427}",0.992483283387877
r080415a_BOA,australia,2008-04-15,"{'positive': 0.0718562874251497, 'neutral': 0.8622754491017964, 'negative': 0.0658682634730539}",0.4961444535114726
r080515a_BOA,australia,2008-05-15,"{'positive': 0.11038961038961038, 'neutral': 0.7922077922077922, 'negative': 0.09740259740259741}",0.6546412561607322
r080613a_BOA,australia,2008-06-13,"{'positive': 0.14375, 'neutral': 0.625, 'negative': 0.23125}",0.9111903881524777
r080621a_BOA,australia,2008-06-21,"{'positive': 0.14285714285714285, 'neutral': 0.7293233082706767, 'negative': 0.12781954887218044}",0.7711315916206547
r080709a_BOA,australia,2008-07-09,"{'positive': 0.12359550561797752, 'neutral': 0.797752808988764, 'negative': 0.07865168539325842}",0.6386533324950312
r080716a_BOA,australia,2008-07-16,"{'positive': 0.20833333333333334, 'neutral': 0.6130952380952381, 'negative': 0.17857142857142858}",0.9343795187506003
r080908a_BOA,australia,2008-09-08,"{'positive': 0.2909090909090909, 'neutral': 0.4090909090909091, 'negative': 0.3}",1.0860429979956028
r080917a_BOA,australia,2008-09-17,"{'positive': 0.12408759124087591, 'neutral': 0.7445255474452555, 'negative': 0.13138686131386862}",0.7452470174625607
r081021a_BOA,australia,2008-10-21,"{'positive': 0.19230769230769232, 'neutral': 0.6615384615384615, 'negative': 0.14615384615384616}",0.8714567296581281
r081119a_BOA,australia,2008-11-19,"{'positive': 0.1349206349206349, 'neutral': 0.6031746031746031, 'negative': 0.2619047619047619}",0.9260826193394885
r081209a_BOA,australia,2008-12-09,"{'positive': 0.13768115942028986, 'neutral': 0.6594202898550725, 'negative': 0.2028985507246377}",0.871208163547774
r090210a_BOA,australia,2009-02-10,"{'positive': 0.056, 'neutral': 0.68, 'negative': 0.264}",0.7752619183146376
r090220a_BOA,australia,2009-02-20,"{'positive': 0.21052631578947367, 'neutral': 0.45263157894736844, 'negative': 0.3368421052631579}",1.0533526880690223
r090325a_BOA,australia,2009-03-25,"{'positive': 0.11731843575418995, 'neutral': 0.776536312849162, 'negative': 0.10614525139664804}",0.6858707862791884
r090421a_BOA,australia,2009-04-21,"{'positive': 0.1488095238095238, 'neutral': 0.6190476190476191, 'negative': 0.23214285714285715}",0.9193958048112114
r090519a_BOA,australia,2009-05-19,"{'positive': 0.2169811320754717, 'neutral': 0.6415094339622641, 'negative': 0.14150943396226415}",0.893027358877361
r090604a_BOA,australia,2009-06-04,"{'positive': 0.2517482517482518, 'neutral': 0.5104895104895105, 'negative': 0.23776223776223776}",1.0320300930207325
r090728a_BOA,australia,2009-07-28,"{'positive': 0.16463414634146342, 'neutral': 0.6463414634146342, 'negative': 0.18902439024390244}",0.8939777528422744
r090814a_BOA,australia,2009-08-14,"{'positive': 0.37398373983739835, 'neutral': 0.35772357723577236, 'negative': 0.2682926829268293}",1.0885534800935908
r090928a_BOA,australia,2009-09-28,"{'positive': 0.38461538461538464, 'neutral': 0.46153846153846156, 'negative': 0.15384615384615385}",1.0123308391031736
r091015a_BOA,australia,2009-10-15,"{'positive': 0.1464968152866242, 'neutral': 0.7261146496815286, 'negative': 0.12738853503184713}",0.7762608655112206
r091105a_BOA,australia,2009-11-05,"{'positive': 0.15432098765432098, 'neutral': 0.7530864197530864, 'negative': 0.09259259259259259}",0.7222678408145108
r091208a_BOA,australia,2009-12-08,"{'positive': 0.13291139240506328, 'neutral': 0.7911392405063291, 'negative': 0.0759493670886076}",0.6493477662394002
r100208a_BOA,australia,2010-02-08,"{'positive': 0.15517241379310345, 'neutral': 0.8103448275862069, 'negative': 0.034482758620689655}",0.5756455478305811
r100219a_BOA,australia,2010-02-19,"{'positive': 0.3373493975903614, 'neutral': 0.5180722891566265, 'negative': 0.14457831325301204}",0.9868862577100328
r100326a_BOA,australia,2010-03-26,"{'positive': 0.21481481481481482, 'neutral': 0.5925925925925926, 'negative': 0.1925925925925926}",0.9576879648674901
r100423a_BOA,australia,2010-04-23,"{'positive': 0.22142857142857142, 'neutral': 0.6142857142857143, 'negative': 0.16428571428571428}",0.9299007241577926
r100609a_BOA,australia,2010-06-09,"{'positive': 0.22142857142857142, 'neutral': 0.6142857142857143, 'negative': 0.16428571428571428}",0.9299007241577926
r100720a_BOA,australia,2010-07-20,"{'positive': 0.10204081632653061, 'neutral': 0.6870748299319728, 'negative': 0.2108843537414966}",0.8189936170063561
r100817a_BOA,australia,2010-08-17,"{'positive': 0.125, 'neutral': 0.8017241379310345, 'negative': 0.07327586206896551}",0.6286119956782976
r100920a_BOA,australia,2010-09-20,"{'positive': 0.1292517006802721, 'neutral': 0.7755102040816326, 'negative': 0.09523809523809523}",0.6855498225899711
r101025a_BOA,australia,2010-10-25,"{'positive': 0.22695035460992907, 'neutral': 0.6524822695035462, 'negative': 0.12056737588652482}",0.8702299270656957
r101126a_BOA,australia,2010-11-26,"{'positive': 0.4794520547945205, 'neutral': 0.3972602739726027, 'negative': 0.1232876712328767}",0.9772569422749227
r101129a_BOA,australia,2010-11-29,"{'positive': 0.20496894409937888, 'neutral': 0.7142857142857143, 'negative': 0.08074534161490683}",0.7683839554368382
r101213a_BOA,australia,2010-12-13,"{'positive': 0.14285714285714285, 'neutral': 0.6428571428571429, 'negative': 0.21428571428571427}",0.8921178708188161
r110211a_BOA,australia,2011-02-11,"{'positive': 0.09639830508474577, 'neutral': 0.8177966101694916, 'negative': 0.0858050847457627}",0.6007038470346657
r110223a_BOA,australia,2011-02-23,"{'positive': 0.2564102564102564, 'neutral': 0.6666666666666666, 'negative': 0.07692307692307693}",0.8165822157577665
r110310a_BOA,australia,2011-03-10,"{'positive': 0.30303030303030304, 'neutral': 0.5606060606060606, 'negative': 0.13636363636363635}",0.9579330839212423
r110414a_BOA,australia,2011-04-14,"{'positive': 0.21804511278195488, 'neutral': 0.7368421052631579, 'negative': 0.045112781954887216}",0.6968983854045196
r110615a_BOA,australia,2011-06-15,"{'positive': 0.21875, 'neutral': 0.68125, 'negative': 0.1}",0.8242018097904353
r110726a_BOA,australia,2011-07-26,"{'positive': 0.22, 'neutral': 0.6866666666666666, 'negative': 0.09333333333333334}",0.812577707891856
r110826a_BOA,australia,2011-08-26,"{'positive': 0.11204188481675392, 'neutral': 0.7717277486910995, 'negative': 0.1162303664921466}",0.6953680795627888
r110907a_BOA,australia,2011-09-07,"{'positive': 0.13970588235294118, 'neutral': 0.7573529411764706, 'negative': 0.10294117647058823}",0.719506143041725
r111117a_BOA,australia,2011-11-17,"{'positive': 0.23684210526315788, 'neutral': 0.7105263157894737, 'negative': 0.05263157894736842}",0.7389306086931555
r111124a_BOA,australia,2011-11-24,"{'positive': 0.07352941176470588, 'neutral': 0.8529411764705882, 'negative': 0.07352941176470588}",0.5195066208226754
r111208a_BOA,australia,2011-12-08,"{'positive': 0.13529411764705881, 'neutral': 0.8, 'negative': 0.06470588235294118}",0.6263026757134641
r120224a_BOA,australia,2012-02-24,"{'positive': 0.19444444444444445, 'neutral': 0.5, 'negative': 0.3055555555555556}",1.0272714193922146
r120319a_BOA,australia,2012-03-19,"{'positive': 0.17567567567567569, 'neutral': 0.6959459459459459, 'negative': 0.12837837837837837}",0.8213208117345652
r120528a_BOA,australia,2012-05-28,"{'positive': 0.125, 'neutral': 0.8402777777777778, 'negative': 0.034722222222222224}",0.5228373466488677
r120608a_BOA,australia,2012-06-08,"{'positive': 0.24022346368715083, 'neutral': 0.659217877094972, 'negative': 0.1005586592178771}",0.8482847873831987
r120724a_BOA,australia,2012-07-24,"{'positive': 0.14285714285714285, 'neutral': 0.6530612244897959, 'negative': 0.20408163265306123}",0.8805800764184042
r120824a_BOA,australia,2012-08-24,"{'positive': 0.16666666666666666, 'neutral': 0.6587301587301587, 'negative': 0.1746031746031746}",0.8783321004975695
r121120a_BOA,australia,2012-11-20,"{'positive': 0.19047619047619047, 'neutral': 0.6488095238095238, 'negative': 0.16071428571428573}",0.8903445541968018
r121130a_BOA,australia,2012-11-30,"{'positive': 0.09090909090909091, 'neutral': 0.9090909090909091, 'negative': 0}",0.30463609734923813
r121212a_BOA,australia,2012-12-12,"{'positive': 0.1206896551724138, 'neutral': 0.764367816091954, 'negative': 0.11494252873563218}",0.709250410037719
r130222a_BOA,australia,2013-02-22,"{'positive': 0.3333333333333333, 'neutral': 0.4942528735632184, 'negative': 0.1724137931034483}",1.0175870030113185
r130326a_BOA,australia,2013-03-26,"{'positive': 0.12195121951219512, 'neutral': 0.8373983739837398, 'negative': 0.04065040650406504}",0.535395506865457
r130411a_BOA,australia,2013-04-11,"{'positive': 0.25, 'neutral': 0.7019230769230769, 'negative': 0.04807692307692308}",0.7409174495782805
r130703a_BOA,australia,2013-07-03,"{'positive': 0.24666666666666667, 'neutral': 0.6, 'negative': 0.15333333333333332}",0.9392806270033851
r130730a_BOA,australia,2013-07-30,"{'positive': 0.26666666666666666, 'neutral': 0.62, 'negative': 0.11333333333333333}",0.8956249082511495
r131018a_BOA,australia,2013-10-18,"{'positive': 0.248, 'neutral': 0.704, 'negative': 0.048}",0.7386353386743809
r131029a_BOA,australia,2013-10-29,"{'positive': 0.3116883116883117, 'neutral': 0.5194805194805194, 'negative': 0.16883116883116883}",1.003898775880851
r131121a_BOA,australia,2013-11-21,"{'positive': 0.11864406779661017, 'neutral': 0.7062146892655368, 'negative': 0.1751412429378531}",0.8036763331725916
r131218a_BOA,australia,2013-12-18,"{'positive': 0.3146067415730337, 'neutral': 0.550561797752809, 'negative': 0.1348314606741573}",0.9625711934424497
r140307a_BOA,australia,2014-03-07,"{'positive': 0.2839506172839506, 'neutral': 0.5679012345679012, 'negative': 0.14814814814814814}",0.9616991422980584
r140326a_BOA,australia,2014-03-26,"{'positive': 0.2925170068027211, 'neutral': 0.5510204081632653, 'negative': 0.1564625850340136}",0.9781988897062114
r140403a_BOA,australia,2014-04-03,"{'positive': 0.20567375886524822, 'neutral': 0.6666666666666666, 'negative': 0.1276595744680851}",0.8583486829659762
r140610a_BOA,australia,2014-06-10,"{'positive': 0.10429447852760736, 'neutral': 0.8343558282208589, 'negative': 0.06134969325153374}",0.5580965674386691
r140703a_BOA,australia,2014-07-03,"{'positive': 0.2331288343558282, 'neutral': 0.6257668711656442, 'negative': 0.1411042944785276}",0.9091375137456044
r140722a_BOA,australia,2014-07-22,"{'positive': 0.13548387096774195, 'neutral': 0.6516129032258065, 'negative': 0.2129032258064516}",0.8792516141995502
